zipcode,population
ZCTA 04061,3369
ZCTA 04062,17020
ZCTA 04063,412
ZCTA 04064,8212
ZCTA 04066,539
ZCTA 04068,1505
ZCTA 04069,1465
ZCTA 04071,4801
ZCTA 04072,18482
ZCTA 04073,16189
ZCTA 04074,18760
ZCTA 04076,2683
ZCTA 04079,3871
ZCTA 04083,4525
ZCTA 04084,8088
ZCTA 04085,1786
ZCTA 04086,8787
ZCTA 04087,2116
ZCTA 04088,1516
ZCTA 04090,9589
ZCTA 04091,911
ZCTA 04092,17515
ZCTA 04093,8034
ZCTA 04095,1274
ZCTA 04096,8349
ZCTA 04097,3574
ZCTA 04101,17227
ZCTA 04102,17335
ZCTA 04103,30606
ZCTA 04105,11158
ZCTA 04106,25175
ZCTA 04107,8980
ZCTA 04108,862
ZCTA 04109,93
ZCTA 04110,1391
ZCTA 04210,23045
ZCTA 04216,640
ZCTA 04217,3312
ZCTA 04219,1472
ZCTA 04220,3077
ZCTA 04221,1098
ZCTA 04222,3848
ZCTA 04224,3040
ZCTA 04226,190
ZCTA 04227,79
ZCTA 04228,6
ZCTA 04231,236
ZCTA 04234,168
ZCTA 04236,4350
ZCTA 04237,238
ZCTA 04238,1416
ZCTA 04239,4851
ZCTA 04240,36592
ZCTA 04250,4228
ZCTA 04252,4799
ZCTA 04253,2095
ZCTA 04254,3181
ZCTA 04255,802
ZCTA 04256,3064
ZCTA 04257,2681
ZCTA 04258,2617
ZCTA 04259,3264
ZCTA 04260,5542
ZCTA 04261,444
ZCTA 04263,2326
ZCTA 04265,918
ZCTA 04267,37
ZCTA 04268,5023
ZCTA 04270,5880
ZCTA 04271,67
ZCTA 04274,5343
ZCTA 04275,514
ZCTA 04276,5841
ZCTA 04280,6474
ZCTA 04281,5116
ZCTA 04282,5734
ZCTA 04284,1138
ZCTA 04285,433
ZCTA 04286,47
ZCTA 04287,3224
ZCTA 04289,1815
ZCTA 04290,1541
ZCTA 04292,948
ZCTA 04294,3995
ZCTA 04330,26086
ZCTA 04342,1672
ZCTA 04343,25
ZCTA 04344,2951
ZCTA 04345,11646
ZCTA 04346,1772
ZCTA 04347,2355
ZCTA 04348,2976
ZCTA 04349,1158
ZCTA 04350,3577
ZCTA 04351,2571
ZCTA 04352,1632
ZCTA 04353,2300
ZCTA 04354,1535
ZCTA 04355,2600
ZCTA 04357,3399
ZCTA 04358,4276
ZCTA 04359,388
ZCTA 04360,560
ZCTA 04363,2575
ZCTA 04364,6025
ZCTA 04401,44899
ZCTA 04406,819
ZCTA 04408,176
ZCTA 04410,1290
ZCTA 04411,1492
ZCTA 04412,9482
ZCTA 04413,196
ZCTA 04414,1248
ZCTA 04415,276
ZCTA 04416,5468
ZCTA 04417,370
ZCTA 04418,1771
ZCTA 04419,2794
ZCTA 04421,1366
ZCTA 04422,1409
ZCTA 04424,823
ZCTA 04426,4720
ZCTA 04427,2858
ZCTA 04428,3146
ZCTA 04429,4717
ZCTA 04430,1728
ZCTA 04431,81
ZCTA 04434,1246
ZCTA 04435,1092
ZCTA 04438,1124
ZCTA 04441,1840
ZCTA 04442,93
ZCTA 04443,2537
ZCTA 04444,8824
